country, population
Austria, 8840521
Canada, 37057765
Cuba, 11338138
Dominican Republic, 10627165
Germany, 82905782
Norway, 5311916
Philippines, 106651922
Poland, 37974750
Scotland, 5424800
United States, 326687501
